,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2022 Squad,Team,Base Price IN ₹,Base Price IN $
0,Shivam Mavi,4000000,BOWLER,6.0,720.0,KKR,Gujarat Titans,,
1,Joshua Little,5000000,BOWLER,4.4,528.0,,Gujarat Titans,,
2,Kane Williamson,20000000,BATSMAN,2.0,240.0,SRH,Gujarat Titans,,
3,K.S. Bharat,2000000,WICKETKEEPER,1.2,144.0,DC,Gujarat Titans,,
4,Mohit Sharma,5000000,BOWLER,0.5,60.0,,Gujarat Titans,,
5,Odean Smith,5000000,ALL-ROUNDER,0.5,60.0,PBKS,Gujarat Titans,,
6,Urvil Patel,2000000,WICKETKEEPER,0.2,24.0,,Gujarat Titans,,
7,Rahul Tewatia,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,,
8,Pradeep Sangwan,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,,
9,Rashid Khan,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,,
10,R. Sai Kishore,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,,
11,Yash Dayal,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,,
12,Noor Ahmad,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,,
13,Wriddhiman Saha,Retained,WICKETKEEPER,0.0,0.0,GT,Gujarat Titans,,
14,Vijay Shankar,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,,
15,Shubman Gill,Retained,BATSMAN,0.0,0.0,GT,Gujarat Titans,,
16,Hardik Pandya,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,,
17,B. Sai Sudharsan,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,,
18,Alzarri Joseph,Retained,BOWLER,0.0,0.0,GT,Gujarat Titans,,
19,Abhinav Sadarangani,Retained,BATSMAN,0.0,0.0,GT,Gujarat Titans,,
20,Darshan Nalkande,Retained,ALL-ROUNDER,0.0,0.0,GT,Gujarat Titans,,
